year_film,category,movie_title,nominee,oscwin,ggwin,guildwin,sagwin,bawin,tomatometer_rating,tomatometer_status,genre,metascore,numnom
1942,picture,the pride of the yankees,the pride of the yankees,0,0,0,0,0,93.0,fresh,none,93.0,9
1942,picture,yankee doodle dandy,yankee doodle dandy,0,0,0,0,0,93.0,fresh,none,93.0,6
1942,effects,mrs miniver,mrs miniver,0,0,0,0,0,92.0,fresh,none,92.0,10
1942,effects,the pride of the yankees,the pride of the yankees,0,0,0,0,0,93.0,fresh,none,93.0,9
1942,screenplay,holiday inn,holiday inn,0,0,0,0,0,100.0,fresh,none,100.0,2
1942,screenplay,the pride of the yankees,the pride of the yankees,0,0,0,0,0,93.0,fresh,none,93.0,9
1942,screenplay,yankee doodle dandy,yankee doodle dandy,0,0,0,0,0,93.0,fresh,none,93.0,6
1942,screenplay,woman of the year,woman of the year,1,0,0,0,0,92.0,fresh,none,92.0,2
1942,screenplay,mrs miniver,mrs miniver,1,0,0,0,0,92.0,fresh,none,92.0,10
1942,screenplay,the pride of the yankees,the pride of the yankees,0,0,0,0,0,93.0,fresh,none,93.0,9
1943,actor,casablanca,humphrey bogart,0,0,0,0,0,100.0,False,"['drama', 'romance', 'war']",100.0,7
1943,supporting actor,casablanca,claude rains,0,0,0,0,0,100.0,False,"['drama', 'romance', 'war']",100.0,7
1943,production design,phantom of the opera,phantom of the opera,1,0,0,0,0,76.0,fresh,none,76.0,3
1943,cinematography,casablanca,casablanca,0,0,0,0,0,100.0,False,"['drama', 'romance', 'war']",100.0,7
1943,cinematography,phantom of the opera,phantom of the opera,1,0,0,0,0,76.0,fresh,none,76.0,3
1943,director,casablanca,casablanca,1,0,0,0,0,100.0,False,"['drama', 'romance', 'war']",100.0,7
1943,score,casablanca,casablanca,0,0,0,0,0,100.0,False,"['drama', 'romance', 'war']",100.0,7
1943,score,phantom of the opera,phantom of the opera,0,0,0,0,0,76.0,fresh,none,76.0,3
1943,score,saludos amigos,saludos amigos,0,0,0,0,0,83.0,fresh,none,83.0,1
1943,picture,casablanca,casablanca,1,0,0,0,0,100.0,False,"['drama', 'romance', 'war']",100.0,7
1943,screenplay,shadow of a doubt,shadow of a doubt,0,0,0,0,0,100.0,fresh,['thriller'],94.0,1
1943,screenplay,casablanca,casablanca,1,0,0,0,0,100.0,False,"['drama', 'romance', 'war']",100.0,7
1944,actor,going my way,bing crosby,1,0,0,0,0,80.0,fresh,none,80.0,8
1944,actor,going my way,barry fitzgerald,0,0,0,0,0,80.0,fresh,none,80.0,8
1944,supporting actor,going my way,barry fitzgerald,1,1,0,0,0,80.0,fresh,none,80.0,8
1944,supporting actor,laura,clifton webb,0,0,0,0,0,100.0,certified fresh,none,100.0,5
1944,actress,double indemnity,barbara stanwyck,0,0,0,0,0,97.0,certified fresh,"['drama', 'mystery', 'thriller', 'crime', 'film-noir']",95.0,6
1944,production design,laura,laura,0,0,0,0,0,100.0,certified fresh,none,100.0,5
